"SITENUM","SITE","BGPOP90","LBGPOP90","TRPOP90","LTRPOP90","LDISTA1","LDISTA2","LDISTA3","NLCD_URB","ELEV_NED","NLCD_LIR","NLCD_HIR","NLCD_ICT","NED_300","NED_1KM","S10_E1K","LS10_E1K","S10_E10K","LS10_E10","S25_E1K","LS25_E1K","S25_E10K","LS25_E10","ASIPNTNU","CMSA","FCYFIPS","REGION","NETWORK","LATITUDE","LONGITUD","EPALANDU","MONOBJ_1","MONOBJ_2","LOCSETTG","XINMETER","YINMETER","FCYPOP90","FCYPOP00","EXTREGNE","EXTREGMW","EXTREGSE","EXTREGSC","EXTREGSW","EXTREGNW","XINKM","YINKM","XINMM","YINMM","LCYPOP90","LCYPOP00","FCY00M90","gridID","n","pm","cvset","x","y","gridNum"
43,"18-003-0004",3467.54502400734,8.15120213667782,3965.90517503497,8.28548939932214,8.6304242253055,7.04285939312408,7.61048786440697,76.9727192725139,237.32460022,41.8011146963919,5.98415957758874,29.1874449985333,237.49664307,237.4879303,0,-6.90775527898214,493.36,6.20123913068324,0,-5.99146454710798,450.36,6.11004726293493,25526,"2760",18003,"Midwest","SAQS",41.094722,-85.101944,"COMMERCIAL","POPULATION EXPOSURE","NO INFO","SUBURBAN",906171.465295,2061612.10799,455.745761867098,482.676689045731,1,1,1,0,0,0,906.171465295,2061.61210799,0.906171465295,2.06161210799,6.12193511426616,6.17934704865948,26.9309271786336,293353,24,13.8457554281294,0,0.906171465295,2.06161210799,58957
44,"18-003-0014",5483.46055979644,8.60949166965072,8446.98919197118,9.04156534821575,8.85095926567085,7.28293780248795,7.70164522018905,81.4608389557055,240.95085144,44.5878556761514,35.3769433851569,1.49603989439718,239.83734131,238.47262573,0,-6.90775527898214,565.36,6.3374626963826,0,-5.99146454710798,510.36,6.23511635905354,25527,"2760",18003,"Midwest","SAQS",41.050556,-85.149722,"COMMERCIAL","POPULATION EXPOSURE","NO INFO","SUBURBAN",902781.239766,2056250.21139,455.745761867098,482.676689045731,1,1,1,0,0,0,902.781239766,2056.25021139,0.902781239766,2.05625021139,6.12193511426616,6.17934704865948,26.9309271786336,292014,23,14.3056151577891,0,0.902781239766,2.05625021139,57992
45,"18-019-0005",4327.31039245022,8.37270147152092,2365.01131930061,7.7685380870882,6.2725378765009,6.76963045065519,7.01271597997573,56.3508360222939,135.9407959,14.051041361103,12.9656790847756,29.3341155764154,134.85325623,132.6328125,0,-6.90775527898214,1883.404,7.54083605689233,0,-5.99146454710798,1318.994,7.18462460380629,22218,"4520",18019,"Midwest","SAQS",38.270833,-85.740278,"COMMERCIAL","POPULATION EXPOSURE","NO INFO","URBAN AND CENTER CITY",887400.671446,1741129.11861,233.326475246293,255.485007636932,1,1,1,0,0,0,887.400671446,1741.12911861,0.887400671446,1.74112911861,5.45243865414175,5.54316372939738,22.1585323906388,239828,24,16.3569991582492,0,0.887400671446,1.74112911861,20392
46,"18-035-0006",2536.68648737112,7.83861397583822,3523.59995919735,8.16723846165582,9.56863639687498,8.38397456846161,6.7385087842926,84.9809328248753,286.14718628,36.1689645057202,20.2112056321502,28.600762687005,282.24246216,283.95480347,0,-6.90775527898214,104,4.64439089914137,0,-5.99146454710798,92,4.52178857704904,24625,"5280",18035,"Midwest","SAQS",40.201111,-85.388056,"RESIDENTIAL","POPULATION EXPOSURE","NO INFO","SUBURBAN",893634.639611,1959456.27716,302.220859475218,289.807121065899,1,1,1,0,0,0,893.634639611,1959.45627716,0.893634639611,1.95945627716,5.71115807285431,5.66921560193079,-12.413738409319,275956,22,14.5946233438279,0,0.893634639611,1.95945627716,46422
48,"18-039-0003",3188.74055514231,8.06738130752057,946.076632752857,6.8523235729093,7.6148482236299,4.87560940637482,4.08070321383515,86.5356409504253,230.95091248,49.7213259020241,23.7899677324729,13.0243473159284,230.90029907,230.65756226,0,-6.90775527898214,720.186,6.57950951198112,0,-5.99146454710798,578.715,6.36081012840976,26433,"2330",18039,"Midwest","SAQS",41.667778,-85.969444,"COMMERCIAL","POPULATION EXPOSURE","NO INFO","URBAN AND CENTER CITY",827560.292948,2117461.92974,333.865415887922,377.546344191009,1,1,1,0,0,0,827.560292948,2117.46192974,0.827560292948,2.11746192974,5.81073796532862,5.93369332722284,43.680928303087,302699,24,15.3357490079365,0,0.827560292948,2.11746192974,65685
49,"18-043-1004",4785.0427801838,8.47325024432437,1738.33529620161,7.46068320793292,6.93809975654852,8.50692239031256,7.05061856170412,76.1806981519507,140.20799255,57.4068641830449,8.15488413024347,10.6189498386624,140.14781189,144.73840332,35,3.55534806148941,1344.167,7.20352976931634,23,3.13549421592915,949.947,6.85640619356461,22218,"4520",18043,"Midwest","SAQS",38.308056,-85.834167,"RESIDENTIAL","POPULATION EXPOSURE","NO INFO","SUBURBAN",878865.559814,1744404.73048,434.238525083134,490.632087964249,1,1,1,0,0,0,878.865559814,1744.40473048,0.878865559814,1.74440473048,6.07359398009305,6.19569453523843,56.393562881115,239826,24,15.2109484728235,0,0.878865559814,1.74440473048,20390
50,"18-065-0003",69.4031479070957,4.23993222537594,146.287927819333,4.98557678800713,8.99537055730457,6.65948759632454,8.64394053104661,1.70137870343209,307.84301758,0.704018773833969,0.117336462305661,0.880023467292461,307.10702515,307.05563354,0,-6.90775527898214,521,6.25575004175337,0,-5.99146454710798,521,6.25575004175337,24324,"NOT IN AN MSA",18065,"Midwest","SAQS",40.011667,-85.523611,"AGRICULTURAL","POPULATION EXPOSURE","REGIONAL TRANSPORT","RURAL",884601.234192,1937093.13761,121.904185978904,122.01054414611,1,1,1,0,0,0,884.601234192,1937.09313761,0.884601234192,1.93709313761,4.80323537534722,4.80410746842575,0.106358167205684,272608,24,13.6237669101732,0,0.884601234192,1.93709313761,44009
51,"18-067-0003",372.825186412593,5.92110964064897,2017.23462593028,7.60948285539843,9.49929589019935,7.66092008838967,4.50280254698135,94.1625110002933,247.88964844,44.8811968319155,19.6538574361983,29.6274567321795,245.48873901,246.62020874,0,-6.90775527898214,705,6.55819780281227,0,-5.99146454710798,614,6.41999492814714,24929,"3850",18067,"Midwest","SAQS",40.485556,-86.132778,"COMMERCIAL","POPULATION EXPOSURE","NO INFO","URBAN AND CENTER CITY",827853.102027,1984396.00409,274.987522526645,285.047751213981,1,1,1,0,0,0,827.853102027,1984.39600409,0.827853102027,1.98439600409,5.61672572400682,5.65265671435326,10.0602286873358,279953,24,14.8134313371813,0,0.827853102027,1.98439600409,49297
53,"18-089-0006",4265.12163624306,8.35822597915405,6250.25807606018,8.74037803404758,7.95694303934693,6.45852094156772,6.4518628240561,85.948958638897,179.75621033,8.12555001466706,41.9184511586976,35.9049574655324,179.7980957,180.22111511,0,-6.90775527898214,9935.094,9.20382861644091,0,-5.99146454710798,8385.862,9.03430247159721,26439,"2960",18089,"Midwest","SAQS",41.636111,-87.440833,"RESIDENTIAL","POPULATION EXPOSURE","NO INFO","SUBURBAN",706840.915921,2102050.84561,947.692719711161,957.121942850379,1,1,1,0,0,0,706.840915921,2102.05084561,0.706840915921,2.10205084561,6.85403031438603,6.86393080533168,9.42922313921792,299993,23,15.1493019403686,0,0.706840915921,2.10205084561,63727
54,"18-089-0022",51.2666113532998,3.93703968946852,373.248517149489,5.92224446360361,6.67175424414645,6.88773659021176,7.90901243624527,56.9961865649751,185.3732605,0.0586682311528307,0.146670577882077,56.7908477559402,183.99645996,184.08657837,0,-6.90775527898214,4988,8.51479030679993,0,-5.99146454710798,4097,8.31801027754687,26137,"2960",18089,"Midwest","SAQS",41.606667,-87.304722,"INDUSTRIAL","POPULATION EXPOSURE","SOURCE ORIENTED","URBAN AND CENTER CITY",718347.818538,2099793.74168,947.692719711161,957.121942850379,1,1,1,0,0,0,718.347818538,2099.79374168,0.718347818538,2.09979374168,6.85403031438603,6.86393080533168,9.42922313921792,299327,24,17.2214806055712,0,0.718347818538,2.09979374168,63248
